dteday;season;yr;weekday;hr;rider_type;riders;price;COGS;revenue;profit
2021-01-01 00:00:00.0000000;1;0;6;0;casual;3;3.99;1.24;11.9700;10.7300
2021-01-01 00:00:00.0000000;1;0;6;0;registered;13;3.99;1.24;51.8700;50.6300
2021-01-01 00:00:00.0000000;1;0;6;1;casual;8;3.99;1.24;31.9200;30.6800
2021-01-01 00:00:00.0000000;1;0;6;1;registered;32;3.99;1.24;127.6800;126.4400
2021-01-01 00:00:00.0000000;1;0;6;10;casual;12;3.99;1.24;47.8800;46.6400
2021-01-01 00:00:00.0000000;1;0;6;10;registered;24;3.99;1.24;95.7600;94.5200
2021-01-01 00:00:00.0000000;1;0;6;11;casual;26;3.99;1.24;103.7400;102.5000
2021-01-01 00:00:00.0000000;1;0;6;11;registered;30;3.99;1.24;119.7000;118.4600
2021-01-01 00:00:00.0000000;1;0;6;12;casual;29;3.99;1.24;115.7100;114.4700
2021-01-01 00:00:00.0000000;1;0;6;12;registered;55;3.99;1.24;219.4500;218.2100
2021-01-01 00:00:00.0000000;1;0;6;13;casual;47;3.99;1.24;187.5300;186.2900
2021-01-01 00:00:00.0000000;1;0;6;13;registered;47;3.99;1.24;187.5300;186.2900
2021-01-01 00:00:00.0000000;1;0;6;14;casual;35;3.99;1.24;139.6500;138.4100
2021-01-01 00:00:00.0000000;1;0;6;14;registered;71;3.99;1.24;283.2900;282.0500
2021-01-01 00:00:00.0000000;1;0;6;15;casual;40;3.99;1.24;159.6000;158.3600
2021-01-01 00:00:00.0000000;1;0;6;15;registered;70;3.99;1.24;279.3000;278.0600
2021-01-01 00:00:00.0000000;1;0;6;16;casual;41;3.99;1.24;163.5900;162.3500
2021-01-01 00:00:00.0000000;1;0;6;16;registered;52;3.99;1.24;207.4800;206.2400
2021-01-01 00:00:00.0000000;1;0;6;17;casual;15;3.99;1.24;59.8500;58.6100
2021-01-01 00:00:00.0000000;1;0;6;17;registered;52;3.99;1.24;207.4800;206.2400
2021-01-01 00:00:00.0000000;1;0;6;18;casual;9;3.99;1.24;35.9100;34.6700
2021-01-01 00:00:00.0000000;1;0;6;18;registered;26;3.99;1.24;103.7400;102.5000
2021-01-01 00:00:00.0000000;1;0;6;19;casual;6;3.99;1.24;23.9400;22.7000
2021-01-01 00:00:00.0000000;1;0;6;19;registered;31;3.99;1.24;123.6900;122.4500
2021-01-01 00:00:00.0000000;1;0;6;2;casual;5;3.99;1.24;19.9500;18.7100
2021-01-01 00:00:00.0000000;1;0;6;2;registered;27;3.99;1.24;107.7300;106.4900
2021-01-01 00:00:00.0000000;1;0;6;20;casual;11;3.99;1.24;43.8900;42.6500
2021-01-01 00:00:00.0000000;1;0;6;20;registered;25;3.99;1.24;99.7500;98.5100
2021-01-01 00:00:00.0000000;1;0;6;21;casual;3;3.99;1.24;11.9700;10.7300
2021-01-01 00:00:00.0000000;1;0;6;21;registered;31;3.99;1.24;123.6900;122.4500
2021-01-01 00:00:00.0000000;1;0;6;22;casual;11;3.99;1.24;43.8900;42.6500
2021-01-01 00:00:00.0000000;1;0;6;22;registered;17;3.99;1.24;67.8300;66.5900
